code,system
14F7.00,readv2
M271300,readv2
M271400,readv2
14NB.00,readv2
G73..00,readv2
G73z.00,readv2
G73zz00,readv2
10500,med
11624,med
12735,med
14796,med
14797,med
1517,med
15272,med
15302,med
16260,med
1826,med
19155,med
22834,med
23497,med
23871,med
24327,med
25954,med
2760,med
30484,med
31053,med
34152,med
34638,med
3530,med
35399,med
3715,med
37806,med
38907,med
4317,med
4325,med
53634,med
5414,med
54212,med
54899,med
5650,med
56803,med
5702,med
5943,med
60699,med
6308,med
63357,med
64446,med
65025,med
67401,med
6827,med
6853,med
68698,med
69124,med
70448,med
72632,med
73961,med
8801,med
9204,med
93468,med
9561,med
98174,med
2G63.00,readv2
G73..11,readv2
G73..12,readv2
G73..13,readv2
G733.00,readv2
M271.12,readv2
M271000,readv2
7A10000,readv2
7A10100,readv2
7A12000,readv2
7A12100,readv2
7A12300,readv2
7A41000,readv2
7A41100,readv2
7A41200,readv2
7A41300,readv2
7A41400,readv2
7A41600,readv2
7A41900,readv2
7A41B00,readv2
7A41C00,readv2
7A47.11,readv2
7A47000,readv2
7A47100,readv2
7A47200,readv2
7A47300,readv2
7A47400,readv2
7A47600,readv2
7A47700,readv2
7A47B00,readv2
7A47C00,readv2
7A47D00,readv2
7A48.11,readv2
7A48000,readv2
7A48100,readv2
7A48200,readv2
7A48300,readv2
7A48400,readv2
7A48500,readv2
7A48600,readv2
7A48700,readv2
7A48800,readv2
7A48A00,readv2
7A48B00,readv2
7A48C00,readv2
7A48D00,readv2
7A10200,readv2
7A10300,readv2
7A12.00,readv2
7A12z00,readv2
7A19200,readv2
7A12111,readv2
7A12311,readv2
G700.11,readv2
G740.12,readv2
7A12112,readv2
7A12312,readv2
7A12y00,readv2
7A41y00,readv2
7A42y00,readv2
7A44y00,readv2
G73y.00,readv2
G73y600,readv2
G73yz00,readv2
G74y300,readv2
Gyu7400,readv2
7A41.00,readv2
7A41z00,readv2
7A42.00,readv2
7A42.11,readv2
7A42000,readv2
7A42011,readv2
7A42012,readv2
7A42100,readv2
7A42111,readv2
7A42z00,readv2
7A43.00,readv2
7A43.11,readv2
7A43000,readv2
7A43011,readv2
7A43100,readv2
7A43111,readv2
7A43300,readv2
7A44100,readv2
7A44300,readv2
7A44400,readv2
7A44z00,readv2
7A41211,readv2
7A41311,readv2
7A41F00,readv2
7A48E00,readv2
7A47.00,readv2
7A47.13,readv2
7A47.15,readv2
7A47.16,readv2
7A47y00,readv2
7A47z00,readv2
7A48.00,readv2
7A48.12,readv2
7A48.14,readv2
7A48.16,readv2
7A48y00,readv2
7A48z00,readv2
7A49.00,readv2
7A49.11,readv2
7A49.13,readv2
7A49.15,readv2
7A49000,readv2
7A49200,readv2
7A49400,readv2
7A49600,readv2
7A49800,readv2
7A49y00,readv2
7A49z00,readv2
7A4A.00,readv2
7A4A.11,readv2
7A4A.14,readv2
7A4A000,readv2
7A4A200,readv2
7A4A212,readv2
7A4Ay00,readv2
7A4B200,readv2
7A4B800,readv2
7A4B900,readv2
7A47.14,readv2
7A49.14,readv2
7A49900,readv2
7A49100,readv2
7A49300,readv2
7A4A.13,readv2
7A4A100,readv2
7A4A211,readv2
7A4A311,readv2
7A4A300,readv2
7A4B300,readv2
7A4A700,readv2
7A4A800,readv2
7A4B400,readv2
7A4B500,readv2
7A50.00,readv2
7A50300,readv2
7A50000,readv2
7A50100,readv2
7A50200,readv2
A3A0F00,readv2
G732.00,readv2
G732000,readv2
G732100,readv2
C107.00,readv2
C107000,readv2
C107100,readv2
C107300,readv2
C107400,readv2
C107z00,readv2
C108G00,readv2
G73y000,readv2
R054200,readv2
R054300,readv2
C109F00,readv2
C109F11,readv2
C109F12,readv2
C10EG00,readv2
C10FF00,readv2
G73y100,readv2
G702.00,readv2
G702z00,readv2
G742400,readv2
G742500,readv2
G742600,readv2
G742700,readv2
G74y000,readv2
G74y100,readv2
G74y200,readv2
G731.00,readv2
G731z00,readv2
G731000,readv2
G73y200,readv2
G73y400,readv2
G73y500,readv2
G73y511,readv2
G73y700,readv2
G73y800,readv2
G73z000,readv2
G73z011,readv2
G742900,readv2
G742z00,readv2
2065,med
27494,med
32634,med
44835,med
4539,med
54865,med
56919,med
69232,med
71860,med
R055000,readv2
R055011,readv2
106762,med
59534,med
10827,med
11766,med
12331,med
14895,med
15532,med
16363,med
17336,med
18030,med
18038,med
18060,med
18816,med
20657,med
2066,med
20892,med
21927,med
22016,med
23352,med
24097,med
24229,med
24677,med
24692,med
27580,med
2761,med
28030,med
28119,med
28125,med
28166,med
28616,med
28777,med
28894,med
29112,med
30989,med
31338,med
32492,med
33555,med
34037,med
34153,med
36065,med
36136,med
36443,med
36952,med
3778,med
37787,med
38921,med
39039,med
39437,med
39776,med
39877,med
40302,med
40397,med
40619,med
40732,med
41768,med
41823,med
42115,med
42465,med
42640,med
42645,med
43648,med
43651,med
44250,med
44430,med
45428,med
47562,med
47835,med
48700,med
48755,med
48939,med
49273,med
49319,med
50894,med
51211,med
51331,med
52289,med
52342,med
52357,med
52695,med
52869,med
53580,med
53675,med
54071,med
55402,med
55554,med
55825,med
55877,med
57793,med
59602,med
60212,med
60465,med
60693,med
61255,med
61256,med
61974,med
6256,med
62775,med
62818,med
62866,med
63238,med
63280,med
63368,med
63396,med
6356,med
63605,med
64555,med
64798,med
65286,med
65669,med
65692,med
6617,med
66437,med
66804,med
66820,med
66869,med
66879,med
